question,faithfulness_score,faithfulness_reason,answer_relevancy_score,answer_relevancy_reason,contextual_precision_score,contextual_precision_reason,answer,ground_truth,contexts
cual es el torque y potencia maxima que tiene la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the actual output directly answers the input question about the maximum torque and power of a motorcycle, making it highly relevant.",0,"The score is 0.00 because irrelevant nodes (like those without relevant information on torque or power) are ranked lower than the correct node, which should be prioritized as it directly answers the input query ('cual es el torque y potencia maxima que tiene la moto').","La Bajaj Boxer CT100 KS tiene una potencia máxima de 7.59 HP a 7500 RPM y un torque máximo de 8.24 NM a 5500 RPM.  
",Potencia: 7.59 HP a 7.500 RPM. Torque: 8.24 Nm a 5.500 RPM.,"CONTAMOS CON EL
RECORDDEMOTOSVENDIDAS
Orgullosamente líderes en Colombia. Boxer establece un récord en la industria, con la moto
más vendida en la historia de Colombia: la BOXER CT100. Un testimonio de confianza y
rendimiento que nos impulsa a seguir brindando lo mejor en cada viaje. ¡Únete a la leyenda
con una BOXER!
651.905
BOXER CT100 VENDIDAS A LA FECHA, DESDE 1998
CONÓCELA A FONDO
DETALLESTÉCNICOSDELABOXERCT100KS
Catálogo 5 Manual 5
MOTOR
MOTOR
Motor: 4 tiempos, Monocilíndrico, SOHC
Boxer C..."
cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle,0.5,"The score is 0.50 because the actual output contradicts the retrieval context by omitting information about the recommended oil change interval, specifically that it should be done every 5,000 km or three months.",1.0,"The score is 1.00 because the answer directly addresses the input question about when to change motorcycle oil and how much to use, making it highly relevant.",0.3666666666666667,"The score is 0.37 because irrelevant nodes like 'continuación se debe enjuagar', 'OTRAS •Se aconseja, sobre todo para condiciones de funcionamiento adversas, proteger la motocicleta con ceras o', and 'Cadena - Aceite de Motor' should be ranked lower than the relevant node ('every 5.000 km to 5.500 km or every three months') because they don't provide clear recommendations for changing oil in a motorcycle.","Para la Bajaj Boxer CT100 KS, se recomienda cambiar el aceite cada 5.000 km o cada tres meses, lo que ocurra primero. La capacidad de aceite del motor es de 1.000 cc al momento del cambio y 1.100 cc al desensamblarlo. 



","Cada 5.000 a 5.500 km o cada 3 meses. Cantidad: 1.000 cc (cambio normal), 1.100 cc (con desensamble).","continuación se debe enjuagar.
OTRAS •Se aconseja, sobre todo para condiciones de funcionamiento adversas, proteger la motocicleta con ceras o
RECOMENDACIONES lubricantes adecuados. Su Concesionario podrá aconsejarle acerca de los mismos.
•Si va a guardar la motocicleta durante un tiempo, consulte con su Centro de Servicio UMA para las
recomendaciones indicadas.
•Recuerde agendar cita en su Centro de Servicio UMA más cercano para los cambios periódicos de aceite,
mantenimientos preventivos, gene..."
cual es la elongadura recomendada de la cadena y cada cuanto debo cambiar el kit de arrastre,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.5,"The score is 0.50 because the actual output does not address the specific questions of chain elongation and towing kit frequency changes, which are mentioned in the input.",0.5,"The score is 0.50 because relevant nodes (ranking 2nd and 3rd) contain correct information about recommended slack, while irrelevant nodes (ranks 1st, 4th-6th) discuss unrelated topics or provide incorrect information.","La holgura de la cadena de la Bajaj Boxer CT100 KS debe estar entre 20 y 30 mm.  

En cuanto al cambio del kit de arrastre, la información sobre la frecuencia recomendada no está disponible en el contexto que me has proporcionado. 

",Holgura recomendada entre 20 y 30 mm. Lubricar cada 500 km. Cambiar el kit cuando haya desgaste visible.,"la marca superior (C) y la marca inferior (D).
NOTA: El no realizar este proceso o mantener la
holgura de la cadena fuera de estos límites generará Es muy importante seguir la frecuencia recomendada
un desgaste acelerado del kit de arrastre. de cambio de aceite para dar una larga vida a los componentes del motor.
Lubrique la cadena por lo menos cada 500 km si usa Para más detalles consulte cuadro de mantenimiento periódico.
la motocicleta en zonas muy húmedas o polvorientas.
. 22 .

un desgaste ..."
en que parte puedo encontrar la bateria de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the input and actual output are identical, with no irrelevant statements present.",1.0,"The score is 1.00 because all 'no' verdict nodes are ranked lower than the 'yes' verdict node (ranked #1), which perfectly aligns with what you'd expect - irrelevant information about other parts should be below relevant info about where to find the battery.","La batería de la Bajaj Boxer CT100 KS se encuentra ubicada en el interior de la cubierta izquierda.  
",Está ubicada en el interior de la cubierta lateral izquierda.,"GARANTÍA EN BATERÍAS: La batería de su motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km, lo primero que
ocurra a partir de la fecha de entrega de su motocicleta.
Cada Centro de Servicio UMA registrará la siguiente información de la batería en la hoja de vida de
su motocicleta garantizando así una adecuada trazabilidad y transparencia al cliente en el momento
de evaluar una solicitud de garantía:
INFORMACIÓN DE GARANTÍA DE LA BATERÍA
Fecha de Venta
Marca
Referencia
Serial
Tipo de B..."
en que parte puedo encontrar el serial del chasis y el del motor de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the answer perfectly addresses the question about where to find the chassis and engine serial numbers of a motorcycle, with no irrelevant statements.",1.0,"The score is 1.00 because all irrelevant nodes (like the introduction phrase) are correctly ranked lower than the relevant nodes, which explicitly provide information on where to find the serial numbers.","¡Hola! Con gusto te ayudo con eso. 

En la Bajaj Boxer CT100 KS, el número de VIN (chasis) se encuentra en la parte frontal derecha del chasis, justo frente al tanque de combustible. El número de motor se ubica en la parte inferior del motor, en el lado izquierdo, justo debajo de la palanca de cambios. 


 

","VIN: parte frontal derecha del chasis. Motor: parte inferior izquierda, debajo de la palanca de cambios.","Identificación de Los números de Motor y de VIN (Chasis) se utilizan para registrar e identificar la motocicleta
la Motocicleta su motocicleta BAJAJ CT-100 KS particular de otros del mismo modelo y el tipo.
El número de VIN se ubica en la parte frontal derecha El número de Motor se ubica en la parte inferior del motor
del chasis, justo en frente del tanque de combustible del lado izquierdo, justo debajo de la palanca de cambios.
. 13 .

Tablas:

Identificación de
la Motocicleta su motocicleta BA..."
cuanta gasolina le cabe a la moto,1.0,"The score is 1.00 because there are no contradictions found between the actual output and the retrieval context, indicating a perfect alignment of information.",0.5,"The score is 0.50 because the answer is only partially relevant to the input question about gas tank capacity, with an irrelevant greeting at the beginning.",0,"The score is 0.00 because the first node ranks irrelevant nodes ('no') as it's actually talking about storing motorcycles, not gas tanks.","¡Hola!  

La información sobre la capacidad del tanque de combustible de la Bajaj Boxer CT100 KS no está disponible en el contexto que me has proporcionado. 

 

",Capacidad total: 10.5 litros. Reserva: 2.3 litros.,"Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
menor a la mencionada la motocicleta se apagará.
Tapa del tanque de combustible
Para abrir la tapa del depósito de combustible, inserte
RES:
la llave en la cerradura y gírela hacia la derecha y
es menor a 1,2 litros, debe abastecer combustible lo
levante la tapa del tanque de combustible.
antes posible.
La tapa se cierra empujándola hacia abajo.
OFF:
. 17..."
en donde se encuentra la llave de gasolina de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the actual output directly addresses the question about finding the fuel cap on a motorcycle, making every statement highly relevant.",0.5,"The score is 0.50 because relevant nodes (ranked 2nd) are ranked higher than irrelevant nodes (ranks 1st, 3rd, and 4th), which mention 'dirección hacia la derecha o izquierda', 'F. Interruptor de encendido', and 'G. Odómetro' respectively, all of which have no direct connection to finding the gas cap of a motorcycle.","La llave de gasolina se encuentra en el grifo de combustible, que controla el flujo de combustible desde el tanque hasta el carburador.  
","Está en el lateral del motor. Posiciones: ON, RES y OFF.","dirección hacia la derecha o izquierda.
F. Interruptor de encendido: Al girar la llave
se activa o desactiva el sistema eléctrico
La llave de la motocicleta funciona para el interruptor de encendido, tapa del
y encendido y se bloquea la direccion.
tanque de combustible y cierre de la cubierta lateral izquierda.
G. Odómetro: Muestra la distancia total recorrida.
. 15 .

Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando l..."
cuales son las especificaciones de la bateria,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.5,"The score is 0.50 because the actual output includes an irrelevant greeting that doesn't provide specific information about the battery specifications, affecting its relevance to addressing the input question.",0,"The score is 0.00 because irrelevant nodes, such as discussions on warranty and technical manual content, as well as tables for warranty guarantee forms, are consistently ranked higher than the relevant nodes. The introduction to warranty concepts also ranks higher despite not providing any information about battery specifications.","¡Hola! 

Lamentablemente, el manual de usuario que me has proporcionado no incluye las especificaciones técnicas de la batería de la Bajaj Boxer CT100 KS. 

 

","12V, 3Ah, tipo MF (libre de mantenimiento).","GARANTÍA EN BATERÍAS: La batería de su motocicleta BAJAJ cuenta con una garantía de 6 meses o 6.000 km, lo primero que
ocurra a partir de la fecha de entrega de su motocicleta.
Cada Centro de Servicio UMA registrará la siguiente información de la batería en la hoja de vida de
su motocicleta garantizando así una adecuada trazabilidad y transparencia al cliente en el momento
de evaluar una solicitud de garantía:
INFORMACIÓN DE GARANTÍA DE LA BATERÍA
Fecha de Venta
Marca
Referencia
Serial
Tipo de B..."
cuantas marchas tiene la moto,1.0,"The score is 1.00 because there are no contradictions between the 'actual output' and the 'retrieval context', indicating a perfect match!",1.0,"The score is 1.00 because the answer directly responds to the input question, providing a clear and accurate response about the number of gears a motorcycle has.",0.45,"The score is 0.45 because irrelevant nodes like 'Aceite de Motor', page references, and topics about sounds and vibrations are correctly ranked lower than relevant nodes that provide direct information about the number of gears, such as 'diferentes velocidades' and explicit statements about multiple speeds or gears.","La Bajaj Boxer CT100 KS tiene 4 marchas.  
",Tiene 4 velocidades.,"Aceite de Motor
• p. 56
• ¿Cómo Conducir tu Motocicleta? p. 24
• p. 57
• P. 26
• p. 58
• p. 30
• p. 58
• Almacenamiento de la Motocicleta ............................................ p. 34

diferentes velocidades, clima, gasolina, etc.), puede generar distintos sonidos y/o vibraciones, las cuales
son característicos de cada modelo y no constituyen indicios de ningún problema en la motocicleta. Estos
sonidos y vibraciones, incluso pueden variar entre motocicletas del mismo modelo y están dados po..."
cada cuanto debo realizarle un mantenimiento preventivo o uno correctivo,0.6666666666666666,"The score is 0.67 because the actual output does not account for the difference in hand labor cost between specified and non-specified time periods, which creates a contradiction with the retrieval context's mention of free hand labor during certain times.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because all nodes are correctly ranked, with relevant nodes ('yes' verdicts) consistently appearing before irrelevant nodes ('no' verdict). For instance, the first 'node' in retrieval contexts ranks highest, which explains that maintenance is important, setting the stage for subsequent relevant information. Similarly, the second 'node' shows a schedule for maintenance, providing specific details to justify the answer. In contrast, the third 'node', which is about saving money by performing preventive maintenance at UMA service centers, is correctly ranked lower as it's not directly related to the question.","¡Hola! 

En la Bajaj Boxer CT100 KS, la tabla de mantenimiento preventivo indica que debes realizarla cada 500-750 km para los primeros 15 a 30 días, luego cada 5.000-5.500 km o al tercer mes, y así sucesivamente cada 5.000 km aproximadamente. 

Recuerda que la mano de obra es gratuita para las primeras revisiones. 



",Preventivo cada 5.000 km. Correctivo depende del desgaste. Es recomendable hacerlo en centros UMA.,"PREGUNTAS FRECUENTES
¿Porqué son importantes • Son los que garantizan la calidad, seguridad e idoneidad de la motocicleta. En esos
las revisiones de mantenimientos realizamos ajustes a diferentes sistemas de la motocicleta y además
mantenimiento preventivo? recomendamos el cambio de algunas partes debido al desgaste normal por el uso
frecuente, el cambio de estas no corresponden a fallas en la motocicleta, por el
Para resumir son dos los factores que
contrario se realizan con el fin de mantenerl..."
que tan alta es la moto,1.0,The score is 1.00 because there are no contradictions found between the actual output and the retrieval context.,0.5,"The score is 0.50 because the model's response only partially addresses the question 'que tan alta es la moto' (how tall is the motorcycle), as it includes irrelevant information such as a greeting.",0,"The score is 0.00 because all nodes (1-6) containing irrelevant instructions for motorcycle safety guidelines, such as 'ACEITE DE MOTOR', 'Verificación diaria del nivel de aceite', and 'ANTES DE Asegúrese', should be ranked lower than the relevant nodes.","¡Hola!  

Desafortunadamente, la altura de la Bajaj Boxer CT100 KS no está disponible en la información que me has proporcionado. 

",Altura total: 1.072 mm.,"ACEITE DE MOTOR
Verificación diaria del nivel de aceite
Mantenga siempre el nivel de aceite entre los niveles bajo y alto,
cuando el nivel de aceite esté llegando al nivel bajo (D), indicado
en la imagen, debe proceder a completar hasta el nivel máximo (C)
con aceite recomendado, sin sobrepasar el nivel máximo. A
1. Estacione la motocicleta en una superficie plana
B
2. Extraiga el tapón medidor de aceite y límpielo.
C
3. Inserte tapón medidor hasta el punto R sin roscar. D
4. Retire de nuevo el ..."
cual es la altura del asiento con respecto al piso,1.0,"The score is 1.00 because there are no detected contradictions between the 'actual output' and the 'retrieval context', indicating a perfect alignment.",0.5,"The score is 0.50 because the actual output contains irrelevant statements, such as a greeting that doesn't address the question about seat height.",0,"The score is 0.00 because all nodes (1st-4th) are irrelevant to determining the height of a seat with respect to the floor, making it necessary for 'yes' verdicts to be ranked higher than these 'no' verdicts.","¡Hola! 

Desafortunadamente, la altura del asiento de la Bajaj Boxer CT100 KS no está disponible en la información que me has proporcionado. 

",Altura del asiento: 784 mm.,"¿QUÉ ES LA
GARANTÍA?

Tablas:

Nombre *
Nombres Apellidos
Número de Cédula * Celular *
0000000000
Email *
¿Qué moto tienes?
Escoge tu ubicación actual *
Departamento
Ciudad
He leído y he aceptado la Autorización para el Tratamiento de
Personales. *
Para conocer nuestro aviso de privacidad da clic en el siguiente link Avi
Privacidad Grupo UMA |  |  |  | s
 |  |  |  |  |  | 
 |  |  | Apellidos |  |  | 
 |  |  |  |  |  | 
 |  |  |  |  |  | 
 |  |  |  |  |  | 
 |  |  |  |  |  | 
 |  |  |  | Da | to ..."
cual es la presión de las llantas,0.5,"The score is 0.50 because the actual output partially deviates from the retrieval context by not considering both scenarios mentioned in the context, instead focusing on a specific one.",1.0,The score is 1.00 because the answer perfectly addresses the question 'cual es la presión de las llantas' and all statements made are highly relevant to providing the requested information.,0,"The score is 0.00 because all nodes (1-5) in the retrieval contexts are marked as irrelevant ('no' verdict), indicating that none of them provide relevant information about tire pressure.","La presión de inflado recomendada para las llantas de la Bajaj Boxer CT100 KS es de 28 psi para la trasera cuando va solo y 32 psi cuando va con pasajero.  
",Delantera: 25 PSI. Trasera sin pasajero: 28 PSI. Trasera con pasajero: 32 PSI.,"banda elástica para evitar que se caiga. Trasera Sólo 28 psi
• Puede ser utilizado para guardar un Trasera con Pasajero 32 psi
kit de primeros auxilios.
Recuerde verificar el indicador de desgaste
de las llantas, este le informa si la llanta es
apta o no para la conducción.
. 21 .

banda elástica para evitar que se caiga. Trasera Sólo 28 psi
• Puede ser utilizado para guardar un Trasera con Pasajero 32 psi
kit de primeros auxilios.
de las llantas, este le informa si la llanta es
apta o no para l..."
que tipos de frenos tiene la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the output directly addresses the question about types of brakes a motorcycle has, with no irrelevant information.",0,"The score is 0.00 because irrelevant nodes like those about safety tips and motorcycle safety guidelines should be ranked lower than relevant ones, as they don't provide any information about types of brakes.","La Bajaj Boxer CT100 KS tiene frenos tanto delantero como trasero.  
","Frenos de tambor adelante y atrás, ambos de 110 mm.","Tips para una conducción segura
Frenada : Estacionando la moto :
• Libere el acelerador y la palanca de embrague con 1. Coloque la moto en el parador central en una
la transmisión embragada para que el freno motor
le ayude a disminuir la velocidad. 2. Bloquee la dirección.
• Haga los cambios descendentes de marcha uno
a uno para alcanzar la posición neutral cuando PRECAUCIÓN: No intente estacionar la
se detenga completamente.
• Aplique ambos frenos (delantero y trasero) inclinadas ya que la moto..."
